date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:40:16	467215/467215	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:dd3150a0f15644874f725944dc0d673e%22	https://theninetiesarcade.com/products/ninetiesarcade	C:/My%20Web%20Sites/eities/theninetiesarcade.com/products/ninetiesarcade.html	(from )
19:40:16	868/868	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:941b1b17cb77d52fd318fd34aa2b03d0%22	https://theninetiesarcade.com/robots.txt		(from )
19:40:17	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Aug%202025%2001:40:16%20GMT	http://theninetiesarcade.com/cdn/shop/t/5/assets/secondary.js?v=176493633728047177611740860178	C:/My%20Web%20Sites/eities/theninetiesarcade.com/cdn/shop/t/5/assets/secondary.2f471.delayed	(from https://theninetiesarcade.com/products/ninetiesarcade)
19:40:17	178467/178467	---MCZ	200	added ('OK')	application/javascript	etag:W/%22689474d1-2b923%22	https://js.shrinetheme.com/js/v2/main.js	C:/My%20Web%20Sites/eities/js.shrinetheme.com/js/v2/main.js	(from https://theninetiesarcade.com/products/ninetiesarcade)
19:40:17	75782/75782	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2008%20Jul%202025%2018:40:16%20GMT	https://theninetiesarcade.com/cdn/shop/t/5/assets/secondary.js?v=176493633728047177611740860178	C:/My%20Web%20Sites/eities/theninetiesarcade.com/cdn/shop/t/5/assets/secondaryf471.js	(from https://theninetiesarcade.com/products/ninetiesarcade)
19:40:17	2453/2453	---MCZ	200	added ('OK')	application/javascript	etag:W/%222a06b32:995:68110ae1:1ba91db8%22	https://shopify.jsdeliver.cloud/js/config.js	C:/My%20Web%20Sites/eities/shopify.jsdeliver.cloud/js/config.js	(from https://theninetiesarcade.com/products/ninetiesarcade)
19:40:19	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Aug%202025%2001:40:17%20GMT	http://cdn.shopify.com/s/files/1/0762/0028/0340/t/1/assets/globo_checkout.js	C:/My%20Web%20Sites/eities/cdn.shopify.com/s/files/1/0762/0028/0340/t/1/assets/globo_checkout.5.delayed	(from https://theninetiesarcade.com/products/ninetiesarcade)
19:40:19	1955/1955	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2014%20Jun%202025%2011:08:16%20GMT	https://cdn.shopify.com/s/files/1/0762/0028/0340/t/1/assets/globo_checkout.js	C:/My%20Web%20Sites/eities/cdn.shopify.com/s/files/1/0762/0028/0340/t/1/assets/globo_checkout.js	(from https://theninetiesarcade.com/products/ninetiesarcade)
19:40:19	777/777	---MC-	200	added ('OK')	application/json+oembed	etag:W/%22cacheable:dce08e8819f45fb37c4de6b6508a6132%22	https://theninetiesarcade.com/products/ninetiesarcade.oembed	C:/My%20Web%20Sites/eities/theninetiesarcade.com/products/ninetiesarcade.oembed	(from https://theninetiesarcade.com/products/ninetiesarcade)
19:40:19	4103/4103	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2011%20Aug%202025%2001:40:19%20GMT	https://theninetiesarcade.com/checkouts/internal/preloads.js?locale=en-MX	C:/My%20Web%20Sites/eities/theninetiesarcade.com/checkouts/internal/preloads947d.js	(from https://theninetiesarcade.com/products/ninetiesarcade)
19:40:20	0/0	---M--	200	added ('OK')	application/javascript	date:Mon,%2011%20Aug%202025%2001:40:19%20GMT	https://shop.app/checkouts/internal/preloads.js?locale=en-MX&shop_id=92053111058	C:/My%20Web%20Sites/eities/shop.app/checkouts/internal/preloads.97e95.delayed	(from https://theninetiesarcade.com/products/ninetiesarcade)
19:40:20	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Aug%202025%2001:40:20%20GMT	http://theninetiesarcade.com/cdn/shopifycloud/shop-js/modules/v2/client.init-shop-cart-sync_DMhwnj0d.en.esm.js	C:/My%20Web%20Sites/eities/theninetiesarcade.com/cdn/shopifycloud/shop-js/modules/v2/client.init-shop-cart-sync_DMhwnj0d.en.esm.js	(from https://theninetiesarcade.com/products/ninetiesarcade)
19:40:20	450/450	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2005%20Aug%202025%2018:43:00%20GMT	https://theninetiesarcade.com/cdn/shopifycloud/shop-js/modules/v2/client.init-shop-cart-sync_DMhwnj0d.en.esm.js	C:/My%20Web%20Sites/eities/theninetiesarcade.com/cdn/shopifycloud/shop-js/modules/v2/client.init-shop-cart-sync_DMhwnj0d.en.esm.js	(from https://theninetiesarcade.com/products/ninetiesarcade)
